feature,importance
total_delivered_3mo,0.013274823666696656
sms_creates_90d,0.003488028342640237
avg_deliverability_score,0.0012346934045949665
subscribed_size,0.001219035778454658
total_revenue_3mo,0.001154535706593207
avg_engagement_score,0.0008724257908367284
events_trend,0.0008356186846113723
friction_score,0.0007799990574264282
email_creates_30d,0.00027813708524329075
avg_click_rate,0.00025087256211342446
list_count,0.0001497990799391724
total_builder_events_30d,0.00014457987122571403
email_publishes_30d,0.0
publishes_trend,0.0
email_completion_rate,0.0
automation_creates_90d,0.0
email_abandonment_rate,0.0
builder_active_days_90d,0.0
email_tests_90d,0.0
tenure_months,0.0
ca_template_creates_90d,-2.6875029942363682e-05
email_publishes_90d,-3.688500486282997e-05
avg_health_score,-6.376003480517145e-05
email_creates_90d,-7.443214814462085e-05
creates_trend,-0.00010788961295677968
total_orders_3mo,-0.00021453284771326685
ai_content_creates_90d,-0.00033262718218436406
plan_amount,-0.0003821707156431042
avg_mrr,-0.0008913551597526048
avg_bounce_rate,-0.002423738207606907
list_size,-0.0025422220352654843
total_builder_events_90d,-0.003306251872001664
avg_open_rate,-0.00374119891456044
